,Word,Mnemonic_1,Mnemonic_2,Mnemonic_3,Mnemonic_4,Mnemonic_5,Mnemonic_6,Mnemonic_7,Mnemonic_8,Mnemonic_9,Mnemonic_10,Mnemonic_11,Mnemonic_12,Mnemonic_13,Mnemonic_14,Mnemonic_15,Mnemonic_16,Mnemonic_17,Mnemonic_18,Mnemonic_19,Mnemonic_20,Mnemonic_21,Mnemonic_22,Mnemonic_23,Mnemonic_24,Mnemonic_25,Mnemonic_26
416,trenchant,When you chant it is to be very strong; clear and effective,if chant under the tree...it ll be clear and effective,"TRENCH means to CUT
So 
TRENCHANT-->CUTTING OR SHARP insight",'ant' always walk in straight 'trench' i.e they know which way is right or wrong for them.. they never deviate...,trenchant:trench+ant;an ant in a trench is sharply perceptive to things because it can see every minute particles.(sharply perceptive),TRENCHANT and ELOQUENT are rhyming words . Both the words refer to a strong and effective use of language.,"when american economy collapsed;keynes asked the us goverment to dig trenches so that they can employ people& govt was SO KEEN to have a solution; they really asked 
people to dig trenches..",TRENCHANT rhymes with PUNGENT;so the meaning goes(not the exact one though),TRENCH warfare b/t father and teenage you. He saw right through your ANTic because he was more [keenly perceptive]. Now he still teases you w/ [penetrating remarks] of his [effectiveness] in catching you red handed.,ten chantazz ( severe) or criticism,if ure chatting with 10 people then you must be all knowing or insightful. ten + chat,trend + chant(repeatedly doing something) >>> when a trend goes on and on followed by people; it becomes clear in mind of younger people that that related thing is to be done like that nly... relate it..,train+chant:so when train is chanting the expression is effective n clearly heard or understood,trench+ant...imagine an ant forcefully breaking the trench and vigorously coming your way...,,,,,,,,,,,,
417,umbrage,notice the last 4 letters...RAGE.And then umbrella =shade; rage=anger and resentment.,umbrage == angrez ..who ruled India for a 100 years were very insulting to the Indians.,"we grew great resentment to Dolores Umbridge:X <img src=""http://api.ning.com/files/PEzUw2o8g1xBx77w9jvlz*oNedgvSjxs2JPivRe6tPGV88QYCSV26FYJK6JfwUTeQMKLv8SAYNeFDTL2J1AutdmFnAJtpKji/Dolores_Umbridge_headshot.jpg"" width=40 height=40>","umbrage= um bra rage.

he got a fit of RAGE as she dint undo her BRA = UMBRAGE",sounds like curtley EMBROSE ; westindies player ..to whom sachin hits 3 sixes in a row and so he is in Umbrage (really angry),Umbrage and enrage are similar in sound and both mean; anger.,remeber proff umbridge in harry potter..wasnt she bad;offensive.,umbrella rage...when its raining and there are so many umbrellas out that you get poked in the eye...therefore angry and injured!,"someone says something offensive and you say ""ummmm"" with undertones of rage!",umbrage -> Umbrella ragging;sense of injury or insult;anger.,,,,,,,,,,,,,,,,
418,versatile,"""Various Attires""  or ""Various Styles"" ...means many forms",Versatile and mobile sound the same and they both mean; mobility (to be able to move).,Many talented working at NASA in various + satellite,,,,,,,,,,,,,,,,,,,,,,,
419,wayward,sounds like waver...wave means a whim or caprice...,follows his own way,,,,,,,,,,,,,,,,,,,,,,,,
420,alienate,alian+ate...if a alian comes and eat all food on earth .we all become unfriendly and hostile to it.,Alienate = A + lie + nate; When I tell 'A lie' it 'Alienates' my father.,Alien+ate. treat someone like an alien i.e. being unfriendly or getting separated.,Aliens may be hostile creatures living in a separate distance planet. To 'alienate' two friends mean 'To make them enemy or hostile' which in turn means 'To separate these two friends':D,Relate it with the movie 'How to lose friend and alienate people',in alienate consider the nate as mate it becomes a+lie+mate when u lie with ur mate it will separate ur friend ship,alien+hate you hate aliens so you isolate them,alien.. in Koi Mil Gaya.. Hritik became; everyone became his hostile while he was keeping alien at his home. Hritik was alienate,"ALIENATE<===> à¤µà¤¿à¤°à¥‹à¤§à¥€ à¤¬à¤¨à¤¾à¤¨à¤¾ (pr. \\virodhi banana \\ )[TransitiveVerb]

Example:The Governments Defamation Bill had alienated many of its supporters.",,,,,,,,,,,,,,,,,
421,apathy,"consider pathy==sympathy;

there are two words.

1. antipathy = dislike

2. apathy  = disinterested

Since ""anti"" is stronger than ""a""..
disliking is 1 step above disinterested..",,apathy sounds like chapathy means roti in hindi.so say i dont like chapathi i like breads only.,"a (negative) + pathy : root ""pathy"" means feeling as in sympathy; so apathy means having no feeling for others or lacking interest in something.","choosing ""A""Path or ""B"" Path doesnot make anydifference(indifferent)",Anti-symPATHY,pathy+patni: panti(wife) is trying to attract pathy(husband). But he does not show any interest.,"APATHY<===> à¤‰à¤¦à¤¾à¤¸à¥€à¤¨à¤¤à¤¾ (pr. \\udasinata \\ )[Noun]

Example:There is certain apathy about the economic condition among the public.",relate it to Apathetic-meaning indifferent,,,,,,,,,,,,,,,,,
422,apropos,"apropos sounds like ""Propose""


This issue is faced by many teenage boys/girls :) 

When is the right time to propose to a Girl/Boy you love?

Hence apropos is an opportune moment or right moment/time.",apropos ~ apro + pos ~ appropriate + position - appropriate + situation...,"split it like a+propos.sounds like..propose...and you propose a plan in your office related to or concerning to"" how to increse sales of product..""","apropos=a+pro(program)+pos(position)
a program conducted by a news paper in  order to inform position  of   some xyz  person.",APROPOS OF<===> à¤•à¥‡ à¤¸à¤‚à¤¦à¤°à¥à¤­ à¤®à¥‡à¤‚ (pr. \\ke sanadarbh men \\ )[Noun],sounds also similar to purpose.... so if you have .a. purpose .or aim.to do something you wait...for the opportune time to come..,A means one; pro always  means bettter ; pos means position is always good for right person,,,,,,,,,,,,,,,,,,,
423,apt,since apt is close to aptitude which is natural talent so people of aptitude have quality of striking appropriateness and pertinence,APT also means appropriate...it can be written as APpropriaTe.....,,,,,,,,,,,,,,,,,,,,,,,,
424,cloak,on railway station; in CLOAK room; we COVER and HIDE our luggage,,,,,,,,,,,,,,,,,,,,,,,,,
425,consensus,con + sens + ous .. it can be seen as common sense.... that is common decision.....common aggrement!,consensus...consen(consent(means ..agrement)+sus...so if sus is chosen as a leader by commen CONSENt...,CON(togerther) + SENSUS(agreement) . so it is the agreement made by group of people all together,Census is the count of all people... consensus is a general agreement b/w all people. :-),,,,,,,,,,,,,,,,,,,,,,
426,distort,"the root word here is tort( turn..); hence we can derive words like:
dis + tort- disfigure;
Con + tort - twist one's face...",dis + tort. 'tort' is from 'torque' which means 'twist'. So twisting changes the shape.,ifu can remember the word distortion; that brings to the meaning twist..,,,,,,,,,,,,,,,,,,,,,,,
427,divergent,When there is DIVERtion on roads; we TEND TO MOVE APART IN DIFFERENT DIRECTION,: we used to study in physic that light rays DIVERGE(move apart) are reflection,,,,,,,,,,,,,,,,,,,,,,,,
428,elated,sounds like elevated...if you are promoted you will definitely be in high spirits,seems like 'elected'; so if you are elected by a good university surely you will be overjoyed and excited.,,,,,,,,,,,,,,,,,,,,,,,,
429,enchant,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
430,entrenched,Sounds like entrance. A house entrance is not easily modifiable and establish firmly,,,,,,,,,,,,,,,,,,,,,,,,,
431,exotic,you can find many TV shows in which they portray different 'Exotic Destinations' or places.. this might help remembering it.,"ex means out + tic read from back as cit+y
so out of city",Sounds like Arctic (Exotic) which is a strange place,we say exotic dance i.e.; attractive and there are many EXOTIC(foreign) girls in movies,exotic honeymoon...to try something unusual :p,,,,,,,,,,,,,,,,,,,,,
432,exploitative,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
433,foreseeable,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
434,forsake,"a despo boy saying to his girlfriend;;;;;; ""FOR god SAKE ; dont leave me ; i need uuuuuu""",FAR somewhere in DESERT you would wish to have a chocolate SHAKE -> FOR+SHAKE -> desert,'For sake of welfare of villagers he abandoned living luxurious life.',Forest + ake(alone),"The word forsake says ""Do not forsake me""","""Sake"" is from ""seek"". When someone look FOR someone else and SEEK him who has left; he is called a man ""for 'seek'"".",god sake; he GIVE UP  and ABANDONED all things and became a SAINT,"bhagwan ke liye mujhe chodd do.. Please leave me for the sake of god.. 
or
FOR the SAKE of gaining something we have to LEAVE something..",forsake = for the sake of protection of our country we left the operation.,,,,,,,,,,,,,,,,,
435,gratify,it would be really GREAT IF I bring a score above 1400 in GRE and I'll be able to please the top notch universities...,Gratify => Ratify means satisfy.,feeling great means setisfy,,,,,,,,,,,,,,,,,,,,,,,
436,heed,heed sounds like seed - If you sow a seed and do not (heed) pay close attention to it by watering and giving manure ... it will not grow and flower in future.,sounds like HIDE.so he hind it with kind attention,hey this sounds like heap. now many times my mom gives me a heap of rice to see if it has any insects in it. now u gotta that stuff gingerly.,Heed is the Need of everyone... Everyone wants attention of others...,He gave a keen HEED while purchasing the WEED,HEED - Think of HEAR means listening and paying attention to something,read it as HEAD...pay close attention to mind ur HEAD...,,,,,,,,,,,,,,,,,,,
437,judicious,judi+cious--- having JUDgement qualities,,,,,,,,,,,,,,,,,,,,,,,,,
438,lucid,"when u LOOK(luc) the ID of micorsoft employee...u will "" clearly;tranparently understand;that he is clever n inteligent","lucid has root 'luc'; means 'light'

Under the light; we easily understand everything",LUCing(looking)In Day is very clear. we can see anybody clearly in day time. so LUCID is sth which is crystal clear,Language is as clear as acid...,'LU' was Clear In his Diction,loose +id=even LOOSE people can EASILY UNDERSTAND it..,,,,,,,,,,,,,,,,,,,,
439,pertinent,relate to pertaining....which means relevant to,can brake into pert(read like part)+in it. to take part in. it(something) must be suitable.,party in a tent is suitable,pertinant sounds like relevant,relate it to tenant.a particular tenant wid whom u ca share a good rapport is d one most  suited to give your house on rent.,PER(perk)+TINE(tiny)+NT(not)....TINY PERKS are not SUITABLE.,The parts(pert) in(in) ent(ear;nose;teeth) is always important,,,,,,,,,,,,,,,,,,,
440,propriety,divide the word as propr+iety ..propr(sounds like PROPER)..hence it refers to being PROPER or CORRECT IN CONDUCT..,PROPER + APPROPRIATE = PROPRIETY,propriety,"prop+rite
proper gaa;right gaa vundaali",propriety sounds like appropriate....,having proper property(quality) is propriety,Properly + Rightly = Propriety.,,,,,,,,,,,,,,,,,,,
441,scintillating,scin+till+llating:  skin +till+ illuminatingâ€”means skin is shining; sparkling,SCINTILLATING === ILLUMINATING,scint(scientists) are clever,,,,,,,,,,,,,,,,,,,,,,,
442,sensational,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
443,sophisticated,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
444,strife,STRIFE <> STRIKE,wife  usually strife will be quarrelsome,strife= fight with wife which always is a bitter disagreement,Strife = str + ife; st are with knife i.e the  quarrel.,strife ï¼ˆstr+ifeï¼‰=struggleing with wife always leds to quarrel,,,,,,,,,,,,,,,,,,,,,
445,understated,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
446,unscrupulous,"Un + School
i.e without school or the things taught at school (principles)",,,,,,,,,,,,,,,,,,,,,,,,,
447,veracity,"veracity and voracity were two cities; people of vora city used to eat too much and people of vera city used to tell truth about their fattiness; which caused differences between two cities
(in this way you can remem. both words)",U must have the audacity to exhibit veracity!!!audacity means courage...veracity means truthfulness......(2 words at a go),ver=truth so truthfulness or honesty,VERITASERUM...a potion in harry potter which is used to make ppl tell truth is derived from this word!!!,Veracity and sincerity are both synonyms of the word truthful.,VERUS is a Latin root for true....,veracity rhymes with accuracy ...(sing it),vera=veer in hindi veer is powerful person) + city; so in vera city every thing is truthful.,veracity (verify + accuracy) = truthful,VERAcity...VEERA always tells truthful city :),,,,,,,,,,,,,,,,
448,virulent,"it is a virus; which causes disease and harm. So; something virulent is viral and
poisonous.",As dangerous and poisonous as Viru (shewag) is for the opponents,Virulent and malignant have the same sounds and they both mean - bitterly hostile.,Virulent and malignant have the same sounds and they both mean - bitterly hostile.,A strong; harsh; and noxious man is VIRILE and vioLENT,VIRULENT= virus(VIRU) let(LE) him to END(nt),she LENT him her VIRUs .. this was very dangerous and violent.,,,,,,,,,,,,,,,,,,,
449,volatile,volatile memory is a computer memory which gets erased when power is turned off; i.e.; changed suddenly like RAM; so VOLATILE means Lliable tochange,Think: Vola (volume)-tile (vile)... The VOLUME of the liquid in the VILE changed quickly into a vapor.,Volatile and ethereal...both mean light; delicate.,volleyball = air ball. Volatile =  will be in air in a second . they actually have same roots (volare = fly),,,,,,,,,,,,,,,,,,,,,,
450,antedate,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
451,banish,Vanishing oneself from power  is Banish ; hand over,,,,,,,,,,,,,,,,,,,,,,,,,
452,bridle,a bride bridles; ie; she restrains you( husband) from a lot things like friends; temper; food etc,IDLE person dont need RESTRAINING POWER but they themselves restrain them,You a bridle a bride (or Horse) to bring under control.,,,,,,,,,,,,,,,,,,,,,,,
453,comply,com+ply -->com means computer and it works according to our instructions and wishes.,,,,,,,,,,,,,,,,,,,,,,,,,
454,crestfallen,after fell from the everest(crest).u felt sad and disappointed.,crest+fallen.....crest means top part of hill ....or wave......now people who always remain on top..when don't perform they feel despirited,crest +fallen; after winning the game he got a CREST but after few moments it was FALLEN and hence he was very DISAPPOINTED.,crest+fallen.....crest means top part of hill ....or wave......now people who always remain on top..when don't perform they feel despirited,crestfallen...take fallen; when u fail or fall in something important; u feel dejected,some one with such bad haalat as if he has falllen from a high cliff down to the ground below,,,,,,,,,,,,,,,,,,,,
455,curtail,curTAIL. Can be read as cur + TAIL or cutting the tail of an animal; ie reducing it. So curTAIL is to shorten or to reduce.,if you put CURTains to yur door or windows it will REDUCE the width of the door or window,we use curtains to RESTRICT others seeing us (say while changing our clothes :D)...!!!,,,,,,,,,,,,,,,,,,,,,,,
456,elucidate,think of lucid; which means clear.,,lucid-remember the film lake placid. placid;yes; water is clear and enlightens our mind.this tells or explains us how lake placid is so lucid..,elucidate >> lucy+date...Lucy did not show up on the Date to make it clear that she was not interested in him.,LAKE PLACID'S water is so CLEAR that it ENLIGHTENS our mind with freshness...thus lake placid is so lucid..,For linux users lucid lynx is a version of Ubuntu,to make clear and obvious like the day(date)!,,,,,,,,,,,,,,,,,,,
457,evade,rhymes like AVOID,,,,,,,,,,,,,,,,,,,,,,,,,
458,feckless,"feckless:- sounds like fuckless people who fuck less are not effective i.e ineffective.
ultimately we want to remember the word meaning........",it sounds like reckless,think of FECk-LESS as afFECting LESS because it is so useless.,"sounds like ""neck""-less without neck anything s feeble and ineffective",,,,,,,,,,,,,,,,,,,,,,
459,fester,rhymes with pester ... so if you pester someone they will get festered; meaning irritated.,fest+er...fest(fist)..hit somebody with your close fist until blood comes out and if it is left untreated it wil become a sore and than a pus..........,"Some one keeps pestering you to go faster ; faster ; faster ; faster; faster; faster...
(see now ur angry ) ;)",If you foster a sore; it will become fester.,sore pestered becomes festered,fester sounds like blister that oozes pus and causes irritation,fester ->wasted feast giving rotten smell; its look like pus in wound.,,,,,,,,,,,,,,,,,,,
460,iconoclastic,"icon = idol
clash = fragments.

So; one who destroys idols into pieces is iconoclast.",ICONOCLASTIC -> ICON(idol) + CLASH. CLASHing/destroying IDOLS/traditions,ICON +BALASTIC - blasting the icons,icon+o+clastic(classic)..someone who breaks classical icons...(symbols of tradition values),answer is within ICONOCLASTIC:I+C(see)+NO+CASTE!!caste n creed are established beliefs hindering he growth of society!!oppose castism!!,,,,,,,,,,,,,,,,,,,,,
461,immure,sounds like I M YOURS....please enclose me within the walls of your heart,Mural means wall.. so immure means enclosed in wall.that the reson we say extranural activities which refer to outside campus sports.,"mure sounds like ""maar"" (kill in english) . you kill someone and you get imprisoned.",IM + MURE(sounds like mujrim in hindi)and mujrims often PUT BEHIND THE BARS.,i m mara .... arre mar gaya jail jana padega,if ure impure u'll b immured,mure also sounds like chor ; if i-m-chor ; then i should be put behind bars,im+mure = in + mire = mire means being locked.,IMPURE--IF U PRODUCE IMPURE FOOD PRODUCTS U WILL BE BEHIND BARS,IM UR father and you are grounded for one month...,think like Lord krishna's pic is on the wall    and he is saying to his devotees  Hiiiiii   I m  murli immured in this wall please get me out frm here :D,Ur immune system is like a wall for diseases.,immure=immature...a person was jailed for 2 weeks bcoz of his immaturity....:),,,,,,,,,,,,,
462,improvise,I m Pro vise=== I am proved wise as i have done it without actually preparing it before...,Improvisation - Focus on improve ..you alwyas have to improve; at every moment; as per the need of the moment.,just 2 days b4 the comman wealth games AR rehman was told to improvise on the CWG theme song...and he did it beautifully...i.e. on the spur of the moment..without any preparation...,IMPROMPTU - WISE = Improvise,Im Pro Vise -- Concentrate on Pro (Expert) Vise (Advice) -- Any one who comes to me with a problem; I am PRO at giving adVISE instantly .. impromptu,,,,,,,,,,,,,,,,,,,,,
463,inhibit,'Prohibit' means forbade someone to do anything. 'Inhibit' means to make obstacle in doing something,"In(not)+hibit(habit) == don't make smoking as your habit ; try to ""restrain"" or ""prevent"" yourself from it ;","Smoking is PROHIBITED here....
Inspite of that u smoke; police will come and INHIBIT you from smoking.",if u have fever and doctor comes to give injection & u dont like taking it u try to inhibit taking injection,Try to inhibit from habits such as smoking.,Imagine a cave; when you go in; he will bit(e) you.. so in-hi-bit prevents you from getting in,,,,,,,,,,,,,,,,,,,,
464,inscrutable,you cant SCRU(screw) a TABLE b'coz you can't have a penetration... may b b'coz it doesn't have a hole(a place to peek into),IN(not)+SCRUTINY(critical observation or examination)....a thing that cannot be examined or understood is inscrutable.....,in[not]+screw+table...a table which cannot be screwd is impenetrable and we dont readily understand why cant we screw it which is mysterious,That cannot be scrutinized,It was a mystery what was behind the wall; so  Ebenezer SCROOGE INserted his drill INto the wall and SCREWED IN a hole so he could peep INto it.,To screw a girl in a table is mysterious for virgin boys.:p,"scrutiny is to examine closely.
Inscrutable whereas means something that can not be examined closely as it is not understood in the first place.","Read it as Inscru Table... Have you heard of this type of table anywhere ? ? .. Hence it is "" impossible to understand / interpret """,,,,,,,,,,,,,,,,,,
465,lionize,Lion is assigned a great social importance in animal kingdom,lion type kar do..(even donkey ko then we say to make someone famous; or to treat someone as if they were famous),to make someone famous; or to treat someone as if they were famous,Think of Alex in Madagascar or Aslan in Nernia.. Those lions were celebrities among their people.,,,,,,,,,,,,,,,,,,,,,,
466,monotonous,just consider mono-tone...datz a single tone..when a person got only a single tone then that tone is REPEATED...,,,,,,,,,,,,,,,,,,,,,,,,,
467,peculiar,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
468,premeditate,pre+meditate = think before planning something.,,"pre-before
meditate-think over carefully",,,,,,,,,,,,,,,,,,,,,,,
469,profligate,Profligate= spend Profusely like bill Gates,split it like prof(professor)+li(lee)+g+ate(past f. of eat).. your Professor whose son Lee spent all of his father's money .. eating at all five stars hotels...what a wasteful use of your Professor's money....,PROperty FLy through GATE - because you spend like crazy,profli(profli)+gate...so think f candidate whose profile reveals about his hand in some immoral activities..such a candidate is even not allowed to even enter to the GATE OF some colleges and organizations....,PROFLIGATE: DIVIDE IT INTO 3 PARTS; PROF+LEE+GATE. think that PROFessor had thrown LEE out of GATE bcoz he was extravagant.,Pro fil(fli) gate .. The proletarians filed the gate of their boss with sweets just before the appraisal day ..  Wasteful and def wildly immoral,this word is taken from phlibein means to squeeze ..so think of a prodigal..or profligate son..who has squeezed his fathers pocket in doing all wasteful activities,Because of his immoral behavior his PROFITS were all LITIGATED,Due to the Profligate use of assets by PROFessionals IGATE company got dissolved.,<B>Flagrantly Prodigal</B>.,who earns PROFit at good rATE spends a LOT,(also means corrupt): he is PRO FLoggIng people at the GATE of the city,Profligate = His job PROFile in resume is so wasteful and lack of planning; that the manager thrown it out of the gate.,"spell lyk pro(professional)+fli(FLY)+gate(Jet)...--->there r so many low cost airlines still professional travel through JET airways and ""WASTE their MONEY""....",fli + gate... fly through gate. implies wasteful thing.. and we throw wasteful things,"""prof""  -professor
""fli""   -flew or spent
""gate""  -all his money building college gate...",all high-profiled ppl are mostly spendthrifts.,pROFLigate: When you tell Professor Flagrant that he is being wasteful and should be ashamed; he just ROFLS (rolls on the floor laughing)!!!,PROFuse and LIberal spending w/o GATE (thoughts or constraint). Profuse =  extravagance.,pro+fly+gate....why to fly over the college gate on some plane; when we can walk and go through without wasting money...,pro+fli+gate; imagine a fly (fli) crosses the gate of ur house to buy a choclate which is a waste expenditure for it... this seems to be a stupid mnemonic but give it a try... u will remember it for sure :)),pro+fly+gate = pro things fly over the gate therefore lessen or worsen things are there.,,,,
470,reconcile,Re(BACK)+concile(COUNSELLING)...After filing the petition in court for DIVORCE the judge ordered COUNSELLING of couple..so that relations could be to BACK to NORMAL again AFTER THE QUARREL without legal proceedings,"re+concile...sounds like counsel.......and you counsel your friend (WHO TURNED HOSTILE TO YOU )and again BRING HIM INTO CONSONANCE ..OR IN PEACE WITH YOU...


TAKEN FROM re..back+conciliare..good....to make good again....",,,,,,,,,,,,,,,,,,,,,,,,
471,refine,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
472,relinquish,"Its quite
opposite to what it spells ""Re - link -
Wish""",Relin(Release)+quish(wish; So release ur wish;,"re+LIN+QUI(t)=>
assume we are walking on a line & if we quit it; it z called as GIVE UP",re(sound like arre)+linquish(lankesh)ab to haar man jao,re + link >> think of a situatn where u have caught a rope... to better the grip on u release ur previous grip and grip again.. relate it,when released from hostages he was re(a)l-in-(kush/happy)state .,relinquish your kingdom before I vanquish your country.,,,,,,,,,,,,,,,,,,,
473,ruminate,if in ROOMS of hostel there is interNET; we will start to think(mull over),"Roaming-at:means ur mind is roaming.
ruminate = roam-in-it. ""I just had a wonderful party; but I dont want my mind to roam-in-it for too long;  for i have to study for GRE""",my RUMmy ATE my food; u gotta think over what you can do,split it as RUM+I+ATE...si i ate rum and kept PONDERING and BROODING about it,Ruminate and Meditate rhyme.....,RUM+i+ate- so after drinking lots rum and eating most ppl start to ruminate abt there X-gf/bf's,rum+in+ateâ€”when we sin IN RUM(room) alone; we think deeply,rum i ate: u drank rum and ate toasted octopus (which u have to chew over and over again ^^),sounds like masticate which means chewing,"# à¤µà¤¿à¤šà¤¾à¤° à¤•à¤°à¤¨à¤¾
# à¤œà¥à¤—à¤¾à¤²à¥€ à¤•à¤°à¤¨à¤¾",,,,,,,,,,,,,,,,
474,skittish,In a skit ( a comic play or a drama); everyone is lively and playful.,skittish=skirtish: think of girls all with short skirts showing skirtish (skittish) behavour;,when u r walking on skates (skatish); u r very lively and playful,SKI is a long strip of wood fastened to the foot for sliding....hence SKITTISH people are lively; playful...,skits are subjected to change pretty easily,after seeing the chick in mini skirt ibecame very frisky,"Rhymes with ""citish""; as in ""citish life"" - changing; lively",everyone feels skittish(nervous) during skating.,,,,,,,,,,,,,,,,,,
475,superfluous,divide it as super+flow.. when there is large(super) flow of water; it becomes EXCESSIVE / OVERABUNDANCE of water..,sounds like surplus - you have more than you need when there is a surplus of it,super flow of water in the jar;why?because it is excess n more than required in the jar,,,,,,,,,,,,,,,,,,,,,,,
476,synoptic ,something like synopsis,Synopsis = Syn+Optic,,,,,,,,,,,,,,,,,,,,,,,,
477,thorough,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
478,visionary,Visionary and imaginary sound alike and they both mean - something that is conceived; imagined.,,,,,,,,,,,,,,,,,,,,,,,,,
479,vociferous,VOICE + FURIOUS = noisy,"take the second part of word --> FEROUS !!! 
it is oer of IRON ..

so when iron peices collide with each other ...
they make noise !! 

"""" ferous --> iron --> collide to make noise  """"","sounds like ""voice of ferous(iron)"" which is very noisy.","Vociferous (Voice(y) + Furs)
Imagine a bird fluttering its wings rapidly in air. What kind of sound its FURS (of Wings) gonna make?? Very OFFENSIVELY LOUD SOUND.",Vociferous (loud)is the opposite of harmonious (peaceful).,vocy or walky talky is quite noisy,do you remembr the cindrella's aunty had a cat called LUCIFER. its a rugged cat which never listens to what the aunt says and makes noises. the arrogant cat. so lucifer = vocifer(ous) = noisy ; loud,voice furious,vociferous = Voice + ferous (cut something); sound is going to cut something i.e loud sound.,,,,,,,,,,,,,,,,,
480,acclaim,A+claim..imagine  you have claimed to a news channel that you have designed a super computer ;so every where people are praising you for your great invention,look at the last 3 letters AIM -> when you had reached ur aim u will be praised,look at the last 3 letters AIM -> when you had reached ur aim u will be praised,look at the last 3 letters AIM -> when you had reached ur aim u will be praised,acclaim: (accl+aim)when you accomplish your AIM you will be praised,not blame,like if u claim that u get teh drug to make man immortal; what u will get? acclaim,ppl are applauding but according 2 me its lame...acc-lame,(AC) Acknowledgement to whatever u (claim)claim,A+claim.. You can claim the success of your movie only if it's acclaimed by audience.,critically acclaimed film; hence successful,when hitler claims publicialy.crowd admires him looking at his confidance.,think of critics acclaim to any movie... the best critics movie is given critics award..,,,,,,,,,,,,,
481,ascertain,When you have determined your chances of admission into a college AS CERTAIN; then you have ASCERTAINed your chance to be 100%,asCERTAIN means to make CERTAIN.,certain means a sure event... so a~scertain means that you are not sure; so find out whether it will happen,root is certain which means confident; sure; so meaning is confirm,,,,,,,,,,,,,,,,,,,,,,
482,assertive,"ass-er-tive
a policeman is bad""ass"" because he arrests criminals",,,,,,,,,,,,,,,,,,,,,,,,,
483,bogus,BOGUS Sounds like BRUTUS-so he is a fraud,it is formed as : bug(bog) + us---pcs' bugs are always fake to annoy u!!,BOG(bogy in telugu)+us...one who steals bogies from our country are frauds,,,,,,,,,,,,,,,,,,,,,,,
484,cataclysmic ,related to catastrophic,,,,,,,,,,,,,,,,,,,,,,,,,
485,circumscribe,circumscribe -> circle + scribe(a writer of manuscripts); so circumscribe means a person writing around the same lines or topic.,remember circumference..we restrict ourself around a circle..,Lakshman drew a circle around Sita's hut to circumscribe(LIMIT;RESTRICT) her,scribed in a circle;or limited region,circumscribe=circle+describe....you have to describe the things only with in circle...limited;restrained;boundary,circum is somthing like a circle;; and if u chk the word crib here;;that means to stop or check.,circumscribe means drawing a circle around triangle or square or any other polygon. which also means that we are limiting the region confined for scaling the polygon.,,,,,,,,,,,,,,,,,,,
486,complementary,Husband and Wife are complementary ie. they both try to make life complement,,,,,,,,,,,,,,,,,,,,,,,,,
487,contentious,Contentious- (Contender+Serious) One who takes competition too serious always fights and quarrels),Remember as non-contented. One who is not contented is always quarrelsome.,contentious=content+tious(relate with malicious)..i.e. malicious content which pertains to argumentive or contravercial content..its so easy...right..?:),Sounds like (Contagious)-The person/people/group  who is causing controversy/ quarrelsome is contagious to our society,If everyone around you is content and you are not; you might start thinking of something to make them less happy.,"Content+ious(ewww!U.S) If the ""content"" in an article is aimed at making the ""U.S"" look ""eww"" or bad; then that article will be controversial.",CONTENT + VICOUS(deliberately harmful) - Hence controvertial,CONTENTIOUS: CON(who)+TEN people+ THE (where)+VO(there)- he is such a Querulous person; he was asking for all 10 hoodlums who where involved in fighting.,con+tent+us:con is quarreling with us for the tent,If a <B>contender</B> is <B>serious</B> then they are always ready to fight.,Contentious can be broken in content+chi(Hindi meaning shit).So if you call someone's project content as chi he will be argumentative and ready to fight with you because he disagrees with you.,Sounds like (Contagious)-The person/people/group  who is causing controversy/ quarrelsome is contagious to our society,Crying in front of everybody can cause conspiracy!,With tensions,,the one who doesnt have any CONTENT (matter) with him tries to QUERREL and win the arguments,"Think ""contender""--> One who is a competitor. A very competitive contender might become quarrelsome and argumentative.",A person who contains more money ; name and fame will be in  controversy; dispute and has the tendency to argue.,Content with bad intentions,"""Derived from CONTEND"" Ye jantey huay ke  khud ghalti per ho CONTEND kartey jao ge to CONTENTIOUS ban jao ge :)",,,,,,
488,disingenuous,"INGENUOUS(can be remembered as genuine) IS SINCERE; INNOCENT AND SOPHISTICATED.
AND disingenuous IS not naive; insincere","This word is derived from the word ""Genuine""; which means true and real. Disingenuous is just the opposite of genuine.","FOCUS ON sin IN THE WORD.
CAN RELATE sin TO insincere OR sin TO liar(LIARS ARE NOT SINCERE)","indigenous - Native
ingenuous - naive;frank;innocent
disingenuous - not naive; sophisticated
ingenious - Clever",,,,,,,,,,,,,,,,,,,,,,
